PC1,PC2
10.343163,-0.32535198
-20.041431,12.481337
7.1432223,-0.5406959
10.3222885,-0.5089351
9.359738,-0.45889783
-15.74059,-12.0856285
9.721976,-0.5581877
-20.967508,-13.205521
-25.160114,-24.101027
6.635732,0.8258169
-22.720152,-13.845931
-21.412298,-20.512798
8.58058,-0.6564402
5.119828,-0.3581107
8.268827,-0.13240919
10.798943,-0.19093344
6.918007,1.2355518
-21.513258,21.83082
-15.8501425,15.530104
-24.742294,20.93621
7.2549944,-0.11200695
9.440134,1.3904634
-18.839485,18.54173
7.0091763,-0.79085475
-17.129156,16.081278
9.386925,0.70738167
4.3831654,0.25060117
9.029401,-0.6184574
-26.476473,-25.936905
8.703717,-0.41124207
-23.785957,9.010492
8.8629875,-0.56500924
8.322467,1.0987498
6.1390643,-0.41379327
-18.416462,-22.055586
8.572568,-0.35168174
9.99646,-0.5818318
8.818344,0.85641015
11.268594,-0.26506624
-19.962114,19.091684
6.77259,0.8950813
-21.597414,-16.99865
9.387746,0.38788894
7.1084285,-1.0956142
5.364765,-0.4106404
4.721196,-1.7389488
8.822738,0.059169687
8.020324,-0.060195364
4.705215,-1.1618468
4.629973,2.1020994
-19.787481,17.53672
-19.747276,-15.014165
7.931921,-0.16969691
9.6859455,-0.38516203
7.871941,0.0343145
8.205646,0.3648973
-22.856953,-17.169962
5.9331126,1.1978579
10.076677,0.3661303
8.673723,-0.6772479
10.915771,0.2849919
7.067119,0.1937071
9.016065,0.48612484
9.731362,-0.1996152
-21.648949,-17.651548
11.710645,-0.17329974
-32.525333,-30.148432
9.931026,0.2676035
9.755083,0.14756492
7.792394,-0.35513142
-28.897623,25.271433
6.0010166,1.8219842
8.429706,-0.18005444
8.266357,-0.15444781
9.043602,-0.23298657
8.317336,0.20243143
-29.193336,-20.284641
9.431314,-0.9162322
10.367621,0.1589729
7.784968,-0.55457896
10.352528,-0.03023532
10.509805,-0.03458314
9.534597,-0.07466549
9.085121,-0.41784638
5.9232054,3.2930853
9.552374,0.14913414
-19.194036,21.223246
9.306487,-1.1271244
8.561422,-0.52846164
7.935933,0.15638852
-18.971905,24.168467
-14.6666355,-11.712613
10.0408,-0.1025272
9.289928,-0.2716989
8.262127,0.25879705
-11.149346,-9.582159
-18.988304,-15.943165
9.043321,-0.7463406
-23.947067,-21.264761
5.9458585,0.16617687
8.923993,0.2890738
8.381555,-0.3480926
-17.618668,20.996565
8.087197,-0.9589619
9.325152,0.5557313
-20.218143,5.0465527
9.958421,0.48765206
9.12626,-0.12865241
9.228228,0.20458251
7.0988874,-1.1186166
8.207589,0.014323489
6.9672856,-1.9226847
9.83286,0.8292124
-20.950098,26.622768
7.5481515,-0.3955131
10.462858,-0.010541683
-23.639246,-22.1687
5.1081715,1.1038787
7.153815,-0.62769693
9.402409,-0.31727847
8.204672,-0.39014688
-20.817337,-13.523218
9.561467,-1.1805094
9.714599,0.034935176
8.807715,-0.24339485
7.555672,-0.0038179497
8.626581,0.82314754
9.0469475,0.04573554
9.655529,0.85918945
10.5786085,-0.0719771
6.2511353,-0.52134013
-22.479944,-15.164635
-22.130367,-22.228523
9.596232,0.13347691
7.262119,0.11695476
9.711684,0.31650835
-16.921368,-17.367966
-14.776564,15.92033
-22.263968,-16.390879
8.953385,-0.32426906
6.1551256,-0.18432103
8.166193,0.32885584
-16.60903,17.16516
9.591879,-0.56385624
7.292237,0.8899417
-25.15369,1.3378054
-17.921955,-13.103809
5.0472784,-0.7007852
10.100369,-0.30074704
-20.843214,-17.786196
8.600744,0.07701842
8.419061,-0.42119542
9.98487,0.21786611
9.288706,-0.12567896
-28.835964,-20.844995
7.3518286,-0.092950344
-12.611398,-7.7661743
-5.4263945,-2.3420334
7.18357,0.80252296
9.817933,-0.029279726
9.348482,-0.17661142
-18.812931,19.88017
-18.50269,11.528751
-24.596056,23.834776
3.4567273,-0.93962866
-19.522228,21.726913
9.293921,0.10104245
8.495566,0.7041111
9.31286,-0.61313367
-15.12058,-5.327562
-17.155504,20.554554
5.987545,0.18779542
8.333757,-0.92267466
8.048662,0.8126234
8.682872,-0.037254788
9.821291,0.26982725
8.292247,0.17547151
8.35691,-0.22516842
0.6947263,3.4298136
7.321052,0.031091476
-17.704462,20.817339
7.4663205,0.1801538
-26.747166,31.447035
9.786933,0.86139715
8.962895,-0.41779256
8.428797,0.8161116
9.655543,0.81368434
10.174536,-0.13806269
-17.320425,-0.13171375
10.741305,0.31401056
7.26188,0.9672591
8.8309145,-1.1917732
8.576004,-0.5101327
-19.585793,21.317953
-22.720308,3.5748663
9.785925,0.20821477
-25.703772,-18.20776
-12.929417,14.18906
8.455764,-0.09550038
6.212142,-0.30579573
-14.29841,13.098877
9.838964,-0.23349671
9.926142,-0.24407712
-9.499719,-5.3354425
8.229239,-0.19157782
10.460984,-0.2846231
-13.933309,18.751703
-27.735626,-21.680447
9.319277,0.23589084
-19.927628,-18.734686
9.938593,0.28537494
9.07208,-0.4013469
-21.458399,25.972889
-25.308271,27.729033
8.931174,-0.29865038
9.203896,0.19589724
-24.213478,-18.913427
-21.834482,-20.884295
8.227643,0.64817077
5.9644704,1.0014623
-14.736803,15.035006
9.15715,0.09204849
-14.18805,-16.209398
9.715919,0.119178064
9.711559,0.27343792
-25.185337,-18.51173
9.048521,0.46339628
8.14831,-0.81670636
6.315156,-0.11946473
9.095818,-1.169038
8.390576,-0.8439902
7.140911,0.39542055
9.254938,-0.38755557
9.088914,-0.65565103
10.288286,-0.3208088
9.530571,-0.2868805
-26.915722,-26.462559
7.223478,-0.67007405
8.814564,-0.8668215
10.927268,-0.29502168
-27.850744,26.161041
8.062739,-0.73101366
7.4994845,-0.55955666
9.249564,0.22724411
9.930365,0.3942555
9.213929,0.4985773
9.786883,0.8027324
8.7822,-0.63938123
-25.547052,19.589142
-24.87487,20.767942
-17.574997,8.594504
9.468848,-0.17871562
-14.590593,16.223293
5.1787353,0.4957377
-15.234104,14.925944
-27.198256,-22.15551
-19.317003,-1.1435984
-31.081097,29.080114
8.946263,-0.355493
-21.160034,-15.315476
9.6185875,0.51720816
10.819483,0.6420975
-23.51067,18.715456
10.2121725,0.7607315
-25.294506,-21.766153
11.300379,-0.2753087
-16.75403,-13.387831
7.376897,-1.397435
8.323887,-0.099434346
10.129394,-0.12773101
9.21167,0.4916735
9.186065,0.1536799
9.311487,-0.838079
8.011245,0.7321102
10.073932,-0.6197219
6.9680586,0.10235475
-9.533291,-5.2936664
-16.186306,-11.722651
7.5213733,-0.3428147
9.12216,-0.37614235
-19.333197,-17.844435
7.6794167,0.44268224
8.295409,-0.705243
8.83503,-0.5977274
9.407754,-0.6897988
7.773825,-0.39299712
-16.271975,-13.2382145
-21.038702,15.390033
-22.500284,-17.510227
7.930021,0.15484044
-24.404316,-18.59387
5.0589213,1.0867985
-1.5091958,-4.8680396
8.430767,0.56442666
9.074158,0.12362537
9.678152,-0.76375365
-24.84712,-22.328112
8.892171,-0.56038636
-24.177706,24.179998
-21.515806,17.597412
10.076916,0.10748642
-22.751055,-13.78941
9.360315,0.38096294
-12.9657345,15.0384245
9.6757555,0.0442025
9.950413,0.22712164
9.788759,0.019528111
-19.936586,16.025635
9.073183,-0.4645385
8.0821,-0.45554644
-19.904762,14.2083
8.227691,-0.34857002
-18.992548,21.312202
-0.16534904,-0.5228951
9.134393,-0.53702796
9.521495,-0.27297306
8.843079,-0.025057504
-14.003922,-11.294396
-13.990087,-10.723111
-19.960276,3.3343062
9.932987,-0.77947605
9.037492,-0.42080662
-23.339863,24.482224
-15.633614,18.16547
7.9787292,-0.72789973
9.99998,-0.03161594
-18.069149,-17.035292
-23.55137,23.58347
9.616207,-0.54119945
9.867864,-0.502977
-19.720524,-20.16361
-25.872265,-21.247852
10.086838,0.20734529
7.6019783,-0.53032917
9.83092,-0.23170744
-9.193388,3.3003542
-20.328093,-12.797571
6.3271127,-1.0529628
8.853436,-0.4358633
10.070844,-0.97116053
9.173272,0.67991465
-13.7942295,16.298855
7.041669,-0.1080247
9.983553,0.0034150006
8.561039,1.6780075
8.628128,-0.32870013
-16.000698,-12.872193
-24.948332,-26.813347
8.013506,-1.274931
-21.237305,-18.984741
-22.979189,-26.477964
9.875619,0.3938522
8.415858,0.37920228
9.076056,0.18234463
10.349189,0.39754835
-25.720907,-23.617128
-18.303097,-13.3143835
6.844191,-0.93798727
9.910388,-0.07311641
-18.393192,20.01167
9.257111,0.64505464
10.29407,0.43435895
8.607812,-0.021422287
10.179526,-0.48307142
9.550312,-0.009011655
7.737457,-0.4307745
5.1226563,0.06861601
9.235008,-0.212417
-14.048664,14.331694
-16.433645,15.470706
5.197983,-1.0855508
-4.5792313,-3.4357548
6.927193,-0.57621306
-22.591854,-19.928446
5.676936,0.553862
8.620601,-0.39606258
-18.681303,21.01974
-19.204641,3.6513534
-15.707836,15.995867
9.872325,-0.17477152
-17.91929,-14.015192
-18.430546,-13.110072
-19.502201,-14.580893
8.614041,-0.3537532
-30.083914,-14.436312
7.77015,-0.08876975
-22.401836,25.518293
8.682561,0.40858936
-18.012335,-2.084163
9.01482,-0.08978441
9.539964,-0.38051173
7.861346,-0.1871163
-17.35072,14.470495
6.459689,-2.3637424
-10.290599,12.057392
8.421718,-0.3644689
-3.8913212,7.0973625
5.1244287,0.48233056
-30.681847,28.384554
10.097909,0.15555915
8.232341,-0.015316711
7.082812,1.4334155
8.293204,-0.32729948
9.30357,0.28557387
-25.35333,11.660401
2.613884,-0.8481517
8.138449,0.23476902
9.553655,-0.47423023
9.725635,0.34294772
6.6534095,0.39118618
-18.489962,20.187796
10.160137,0.25560775
8.975065,-0.67865574
8.000379,-1.1912619
7.688997,-1.2780013
9.620157,0.32995108
-20.449007,25.095182
-22.43546,16.31528
7.8293533,-0.21357667
7.612194,-1.2397797
8.987375,-0.8514941
12.75853,0.64439964
-27.917097,28.337534
-20.341331,18.676367
7.4783754,-1.2168436
-16.924541,-12.7963295
-28.253447,-27.930515
9.180915,-0.37123555
8.821761,-0.2087844
-4.195548,-0.8669622
7.852368,-0.048604593
-25.441069,-22.688084
-14.632801,-15.509157
8.516394,-0.4070573
9.274081,0.41316456
7.7856116,-1.0672233
8.806982,-0.33269286
-29.41774,16.226404
9.40913,-0.29850212
-23.87114,24.744133
-16.224215,4.847152
-22.37441,18.091915
-18.600492,-13.777246
8.149081,0.66881996
8.726201,-0.33184934
8.667693,-0.22524452
10.657958,-0.07680648
9.032366,-0.34161565
8.508985,-0.30322793
8.335368,0.21408553
10.466577,0.26058182
9.980742,0.33997902
-24.790821,-21.79792
8.200209,0.2589869
9.051311,-0.4963772
7.445854,-0.09990278
-9.050066,7.481003
7.6476293,-0.6709512
9.524395,0.2802606
7.6010375,-0.5220898
8.444256,-0.14568901
8.481986,0.04018448
8.686559,0.20760629
7.864707,0.4313563
7.633992,-0.69195473
8.213683,-0.7850644
-24.446638,-22.674076
9.798894,0.1483408
9.332934,0.3088576
9.502518,-0.090254396
9.460666,0.30158845
7.4533215,-0.09298023
9.415832,0.18598235
-33.24097,25.901218
-22.586128,-21.18384
10.625232,-0.32301173
9.661332,-0.19937365
9.26819,-0.13033096
3.2540984,3.1094673
8.054269,-0.49549374
6.212525,-0.3551725
-21.780659,16.780931
11.3078165,0.12365911
-21.203398,-16.213734
-17.143398,-15.128664
8.828304,-0.36762255
9.528565,0.08640394
9.6220255,0.13971217
-12.206312,12.150121
7.762169,0.0982224
-13.383097,-9.598636
-21.681307,-19.681952
-26.57402,-22.984005
9.615983,0.12465384
9.649229,-0.022617975
9.279929,-0.3003617
8.600157,-0.47831362
8.360064,-0.60845715
0.4299428,5.297656
4.11404,0.025746014
10.431955,0.32207626
5.1795006,1.1628934
7.627978,-0.091449924
9.906001,0.27074105
9.769031,0.70361793
-0.5704812,7.5642753
9.832398,0.5500329
9.999397,0.04158028
9.584756,0.37324286
-19.14123,18.606617
-2.287017,-2.5032723
-13.802032,-9.926931
8.858514,-0.24792717
-15.79081,16.575905
7.898697,0.26865566
-20.934881,-17.571783
9.000576,-0.17898433
-21.768675,24.706612
7.353256,-0.38925683
7.8958282,-0.2353822
