group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
13,Aurka,-0.3365633,11.058159,0.7364461401507776,0.9992175113563134,1.0,1.0
13,Adam33,-0.36903867,10.514197,0.712098889835043,0.9992175113563134,1.0,1.0
13,Traf3ip1,-0.22561012,10.493338,0.8215046668386626,0.9992175113563134,1.0,1.0
13,Gm10093,-0.26570785,10.431468,0.7904642144422227,0.9992175113563134,1.0,1.0
13,A230028O05Rik,-0.23913707,10.34877,0.8109992991658991,0.9992175113563134,1.0,1.0
2,Zrsr1,-0.47011796,12.979885,0.6382707419618802,0.9986723037049843,1.0,1.0
2,Mir143hg,-0.4789881,11.900294,0.6319470858017324,0.9986723037049843,1.0,1.0
2,Edrf1,-0.38542867,11.3888235,0.6999198384705791,0.9986723037049843,1.0,1.0
2,Nrbp2,-0.48785827,10.804845,0.6256502397672841,0.9986723037049843,1.0,1.0
2,Gcfc2,-0.35897556,9.475198,0.719613365493739,0.9986723037049843,1.0,1.0
2,Ncaph,-0.46407998,9.231014,0.6425904545915038,0.9986723037049843,1.0,1.0
2,Tcaim,-0.38330457,8.655564,0.7014939566944997,0.9986723037049843,1.0,1.0
2,Tmem14a,-0.4257672,8.491114,0.6702774818005857,0.9986723037049843,1.0,1.0
2,Tor4a,-0.44350752,8.483045,0.6573986874945454,0.9986723037049843,1.0,1.0
2,Cacna1c,-0.52333885,8.455543,0.6007384607744239,0.9986723037049843,1.0,1.0
3,Enpp2,-0.5921129,17.32413,0.5537749713563538,0.998746825421904,1.0,1.0
3,Zc4h2,-0.5075254,11.602091,0.6117862430982266,0.998746825421904,1.0,1.0
3,Zfp930,-0.375863,10.998769,0.707018757447484,0.998746825421904,1.0,1.0
3,Chtf18,-0.49060786,10.913797,0.623703830735094,0.998746825421904,1.0,1.0
3,Zfp65,-0.33064747,10.847306,0.7409107901277522,0.998746825421904,1.0,1.0
3,9130008F23Rik,-0.4652316,10.575001,0.6417656221095829,0.998746825421904,1.0,1.0
3,Cep70,-0.2492677,10.5275955,0.8031537209815489,0.998746825421904,1.0,1.0
3,Wdr76,-0.44112208,9.285238,0.6591246142694371,0.998746825421904,1.0,1.0
3,Amot,-0.47369033,9.153131,0.6357207419797817,0.998746825421904,1.0,1.0
3,Klhl23,-0.5498192,8.950796,0.5824434251676863,0.998746825421904,1.0,1.0
4,Mgl2,-0.5394909,15.411075,0.5895481793672512,0.9837656339092259,1.0,1.0
4,Arhgef26,-0.44844142,11.194915,0.6538346474852308,0.996551552193114,1.0,1.0
4,Abhd18,-0.39839327,10.780321,0.6903403145767684,0.996551552193114,1.0,1.0
4,Cmpk2,-0.26113436,10.163343,0.7939889093109049,0.996551552193114,1.0,1.0
4,Lca5,-0.51459134,9.728686,0.606838636709268,0.996551552193114,1.0,1.0
4,Gm17501,-0.38965768,9.7018385,0.6967897000119248,0.996551552193114,1.0,1.0
4,Cdkl3,-0.4564923,9.547596,0.6480360110338301,0.996551552193114,1.0,1.0
4,Pdzd4,-0.46479216,9.363613,0.642080307183478,0.996551552193114,1.0,1.0
4,Hoxb8,-0.43989256,9.338495,0.6600149144961701,0.996551552193114,1.0,1.0
4,Plekhb1,-0.4979916,9.292849,0.6184899675138228,0.996551552193114,1.0,1.0
5,Slc22a4,-0.22682048,12.593444,0.8205633315047236,0.9999891376045297,1.0,1.0
5,Porcn,-0.46120477,12.2795,0.6446517050325296,0.9999891376045297,1.0,1.0
5,Creg2,-0.26007786,10.789468,0.7948037050320709,0.9999891376045297,1.0,1.0
5,Zbtb26,-0.39084992,10.78455,0.695908176241675,0.9999891376045297,1.0,1.0
5,Klhl26,-0.23182422,10.108665,0.8166745417331788,0.9999891376045297,1.0,1.0
5,Dagla,-0.34730577,10.024189,0.7283616077471924,0.9999891376045297,1.0,1.0
5,Lgi2,-0.49941933,9.962913,0.61748399937425,0.9999891376045297,1.0,1.0
5,Tmem38a,-0.22028072,9.7190895,0.8256525326279885,0.9999891376045297,1.0,1.0
5,Plxna4,-0.42578298,9.438143,0.6702659967445197,0.9999891376045297,1.0,1.0
5,Ccdc163,-0.13970895,9.436101,0.8888899575521474,0.9999891376045297,1.0,1.0
6,Sh3yl1,-0.35807526,13.674578,0.7202870000655519,0.9994661240378252,1.0,1.0
6,Dpy19l3,-0.2288203,12.687998,0.8190085874352313,0.9994661240378252,1.0,1.0
6,Als2cl,-0.43201873,11.89533,0.6657278126146151,0.9994661240378252,1.0,1.0
6,Gm17501,-0.4176181,11.275379,0.676226368907692,0.9994661240378252,1.0,1.0
6,Tead3,-0.46081996,11.040223,0.6449277798090634,0.9994661240378252,1.0,1.0
6,Neil1,-0.14480108,10.616445,0.884867931639814,0.9994661240378252,1.0,1.0
6,Foxc1,-0.43021864,9.986266,0.6670366076099024,0.9994661240378252,1.0,1.0
6,Btbd11,-0.43201873,9.524343,0.6657278126146151,0.9994661240378252,1.0,1.0
6,Zfp606,-0.28450584,9.4276285,0.7760227669220546,0.9994661240378252,1.0,1.0
6,2500002B13Rik,-0.24852765,9.258153,0.8037261808411689,0.9994661240378252,1.0,1.0
7,Ybey,0.21611656,12.923155,0.8288968898150744,0.996946727344917,1.0,1.0
7,0610040B10Rik,0.3041803,12.547471,0.7609905425889361,0.996946727344917,1.0,1.0
7,Nfe2,-0.30905107,12.151646,0.7572826803204342,0.996946727344917,1.0,1.0
7,Zfp296,0.106207386,11.182071,0.9154178122185944,0.996946727344917,1.0,1.0
